"Country","Diarrhoea","Dizziness","Drug ineffective","Dyspnoea","Fatigue","Headache","Malaise","Nausea","Off label use","Pain","Pneumonia"
"AT",0.14494034467521,0.0905877154220062,0.0287229341581971,0.0974370304904993,0.110693769332744,0.0285019885108263,0.0152452496685815,0.175651789659744,0.0534688466637207,0.0782147591692444,0.176535572249227
"AU",0.107051826677995,0.0739167374681393,0.0662701784197111,0.075332766921552,0.148116680826961,0.0682526196544888,0.108184650240725,0.132681959784764,0.073208722741433,0.0717926932880204,0.0751911639762107
"BE",0.191919191919192,0.0227272727272727,0.105699855699856,0.0663780663780664,0.160894660894661,0.0808080808080808,0.0638528138528139,0.133116883116883,0.0844155844155844,0.0281385281385281,0.062049062049062
"BR",0.0787857311599339,0.061934010552012,0.123356169777148,0.081384360973305,0.0807543901094574,0.0878021891487519,0.120324434994881,0.0711473344357823,0.0553193164816127,0.165327978580991,0.0738640837861249
"CA",0.0734331453755914,0.0543079050273295,0.170285393306976,0.0942057165078748,0.131494804156675,0.0820100676215784,0.0933145375591419,0.0888046319700996,0.0349612202130188,0.108091904854495,0.0690906734072202
"CH",0.164129400570885,0.0409134157944814,0.0647002854424358,0.0899143672692674,0.0899143672692674,0.0523311132254995,0.0195052331113225,0.137012369172217,0.187916270218839,0.0337773549000951,0.11988582302569
"CN",0.35032552985178,0.0941958720044327,0.0457127025903865,0.0821443413215127,0.0921180218866879,0.0397561989195179,0.0290899016484278,0.0917024518631389,0.0581798032968555,0.0296439950131597,0.0871311816041003
"CO",0.0937227550130776,0.117698343504795,0.0588491717523976,0.0896541702993316,0.0855855855855856,0.154606219122348,0.146033129904098,0.0604475443185121,0.0204882301656495,0.12510897994769,0.0478058703865155
"DE",0.139715267550319,0.0645066273932253,0.0565046637211586,0.119685812469318,0.121649484536082,0.036033382425135,0.0211585665193913,0.139077074128621,0.0645066273932253,0.0535100638193422,0.183652430044183
"DK",0.0678325384207737,0.0985691573926868,0.0312665606783254,0.183359830418654,0.157392686804452,0.11552729199788,0.0418653948065713,0.117117117117117,0.121886592474828,0.0445151033386327,0.0206677265500795
"ES",0.120378521126761,0.0695422535211268,0.117077464788732,0.0860475352112676,0.0446742957746479,0.0424735915492958,0.0448943661971831,0.0915492957746479,0.140404929577465,0.0464348591549296,0.196522887323944
"FR",0.156028794241152,0.0261547690461908,0.0649070185962807,0.11121775644871,0.0769046190761848,0.0703659268146371,0.058128374325135,0.0954409118176365,0.222375524895021,0.047630473905219,0.0708458308338332
"GB",0.107317613196059,0.0971327355252961,0.0318830953171704,0.144514557732758,0.106741946197277,0.0804605335990258,0.14956271449131,0.112210782685708,0.0435514225617181,0.059293700874571,0.0673308978191077
"IT",0.133856476742864,0.031616058228136,0.109632662345047,0.111111111111111,0.0515182531559195,0.0329807801660412,0.0547026043443648,0.117593540316161,0.262936426703059,0.0162629364267031,0.0777891504605936
"JP",0.185232760056138,0.0462903494374272,0.0548538262089964,0.0454815766312234,0.0278312995076001,0.0800685078141726,0.0996693546468755,0.142700825424011,0.0859440043768881,0.0217655034610719,0.210161992435596
"KR",0.221119232027926,0.057816079415294,0.0601069052034472,0.0742882077015381,0.00905421621031962,0.0485436893203883,0.00043634776917203,0.319515653976219,0.0184356932475183,0.0281444311115959,0.162539544016581
"MX",0.0907674328009349,0.108297623685236,0.0888196338137904,0.0490845344760421,0.0938839111803662,0.116088819633814,0.105181145305804,0.0381768601480327,0.132060771328399,0.100116867939229,0.0775223996883522
"NL",0.119707266074229,0.0818086774699425,0.0507056978567695,0.0810245687401986,0.138525875588082,0.0797177208572922,0.120230005227392,0.0935703084161004,0.0980135912179822,0.060376372190277,0.0763199163617355
"PL",0.146229130685089,0.0195739781232009,0.256764536557283,0.113413932066782,0.0207253886010363,0.0316637881404721,0.0339666090961428,0.0944156591824986,0.0748416810592976,0.00748416810592976,0.200921128382268
"PR",0.0993394308943089,0.0899390243902439,0.120680894308943,0.0416666666666667,0.146087398373984,0.139989837398374,0.0645325203252032,0.0757113821138211,0,0.21265243902439,0.00940040650406504
"US",0.116582259685532,0.0722590842323178,0.113612573797308,0.0866755593624256,0.141683468298603,0.0826161705532329,0.0635537322938615,0.112990412332296,0.0723437570944201,0.0777321416957397,0.0599508406542635
